@RELATION LRtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE class {breathing,non_breathing}

@DATA
0.054543,0.016458,0.000000,0.133726,0.167932,0.396309,0.035819,0.077900,-33.436055,3.177368,0.446356,0.459106,-0.014020,0.128175,-0.103668,0.000955,-0.026100,0.014728,-0.046654,0.037716,-0.013946,0.037977,0.010280,0.034107,0.038934,0.035170,0.031031,0.019010,0.003436,0.013390,0.015439,0.058290,0.014180,0.029633,-0.000000,0.000000,0.000000,0.002049,0.004038,0.000378,0.002619,0.000000,1.246919,0.044475,0.007781,0.009513,0.004552,0.006895,0.002703,0.001948,-0.002495,-0.001287,-0.000114,0.003336,0.000149,0.000010,0.000001,0.000268,0.000005,0.000020,0.000008,0.000125,0.000001,0.000001,0.000004,-0.000096,0.029272,0.020431,0.000000,0.034101,0.036427,0.270965,0.079656,0.041005,10.269878,0.844493,0.418983,0.244238,0.205490,0.218505,0.185248,0.151077,0.123276,0.108616,0.130773,0.104566,0.104578,0.025381,0.010441,0.030051,0.029263,0.029440,0.026399,0.013874,0.003710,0.010542,0.011855,0.053512,0.015702,0.011283,0.023325,0.017481,0.000000,0.026222,0.032187,0.241390,0.114581,0.035181,6.245883,0.758885,0.461184,0.272584,0.221344,0.219403,0.211109,0.200154,0.177244,0.155089,0.127363,0.149800,0.157808,0.032837,0.015086,0.038860,0.035283,0.035835,0.035363,0.017117,0.004783,0.014980,0.015839,0.043237,breathing
0.055072,0.025043,0.000000,0.157265,0.195883,0.446761,0.023441,0.081778,-27.529104,3.218522,0.529216,0.549988,0.010866,0.117090,-0.133970,0.010050,-0.000854,0.005958,-0.095043,0.025356,-0.051804,0.036617,0.014860,0.038003,0.030051,0.031973,0.032280,0.019509,0.003402,0.017173,0.020094,0.054728,0.015462,0.026220,0.000236,0.000707,0.000000,-0.001015,-0.000919,-0.000670,0.000223,0.000333,0.179569,0.031707,-0.008901,-0.004209,0.008430,0.002072,0.007624,-0.000344,-0.000870,-0.000057,0.000063,-0.000019,-0.001698,0.000896,-0.000016,0.000121,-0.000045,0.001352,0.001440,-0.000356,-0.000089,0.001039,0.000166,-0.002229,0.020445,0.032515,0.000000,0.023497,0.027595,0.209368,0.031995,0.029344,4.007176,0.683822,0.363279,0.213798,0.234989,0.227982,0.229078,0.121840,0.124434,0.179211,0.192581,0.152464,0.110839,0.029583,0.016959,0.025761,0.023388,0.024031,0.024964,0.013553,0.003879,0.016546,0.013758,0.043611,0.014094,0.011177,0.019813,0.023847,0.000000,0.024219,0.025047,0.251100,0.051973,0.031479,2.547228,0.609572,0.443902,0.301004,0.278966,0.218230,0.201653,0.156152,0.158724,0.242403,0.233678,0.181979,0.130282,0.040485,0.024644,0.034406,0.030323,0.027544,0.031229,0.017753,0.005487,0.024553,0.018815,0.048947,breathing
0.037297,0.028154,0.000000,0.090232,0.110959,0.248970,0.095121,0.049500,-54.418931,2.138754,0.351545,0.296767,-0.026900,0.101938,-0.061932,0.072222,-0.087038,-0.016985,-0.092440,-0.000859,-0.074150,0.019574,0.010928,0.028601,0.021753,0.025010,0.024242,0.019436,0.001163,0.013661,0.007455,0.094293,0.014011,0.036983,0.006133,0.006787,0.000000,0.013336,0.016900,0.026740,0.001353,0.007000,7.637792,0.365770,0.043363,0.083840,0.008522,0.036130,-0.012627,0.028848,-0.014747,0.015183,-0.015742,0.004586,-0.023616,0.004733,0.001467,0.012549,0.003804,0.000187,0.004451,0.003708,0.000167,0.006030,0.000913,-0.019088,0.031731,0.036388,0.000000,0.072794,0.091635,0.228962,0.270006,0.041470,36.540038,1.750124,0.363885,0.288675,0.093884,0.190720,0.178018,0.116781,0.085964,0.088740,0.100469,0.060768,0.093055,0.018227,0.012031,0.036753,0.029343,0.032439,0.027954,0.020170,0.001260,0.019084,0.007105,0.086838,0.026698,0.015579,0.020036,0.024286,0.000000,0.039952,0.057329,0.148980,0.401871,0.026429,20.010364,1.148033,0.398267,0.264686,0.137800,0.237681,0.278613,0.142994,0.094900,0.101654,0.085013,0.089745,0.119855,0.016427,0.013753,0.023152,0.036254,0.040298,0.029780,0.014590,0.001571,0.015973,0.006152,0.046525,breathing
0.066611,0.013812,0.000000,0.161075,0.193333,0.582379,0.008661,0.104444,-27.030006,3.356083,0.419054,0.477699,0.004464,0.080672,-0.092908,0.047181,0.045757,-0.016911,-0.118739,-0.003721,0.021694,0.033460,0.013913,0.037864,0.057765,0.041074,0.040647,0.022849,0.003027,0.009326,0.014827,0.039573,0.012973,0.026301,0.008900,-0.007984,0.000000,0.005018,0.000570,0.102661,0.000406,0.010278,-0.536029,-0.071485,-0.036758,-0.051809,-0.073619,-0.051468,-0.004591,0.008280,0.028901,-0.040626,-0.039199,0.017809,-0.007330,-0.001823,0.001840,-0.000907,-0.008869,-0.001535,-0.000828,-0.001621,0.000271,-0.000319,-0.001567,0.001116,0.040832,0.023224,0.000000,0.034977,0.032557,0.495480,0.006303,0.066518,3.184150,0.692232,0.537607,0.204036,0.315231,0.231899,0.294466,0.172773,0.109045,0.136221,0.203666,0.103705,0.129035,0.020215,0.013928,0.025083,0.037922,0.037814,0.029589,0.013594,0.001926,0.007982,0.004965,0.034630,0.006738,0.008603,0.032318,0.012759,0.000000,0.030422,0.039120,0.409098,0.006982,0.071477,2.129615,0.685868,0.533479,0.274853,0.266963,0.334797,0.427891,0.296551,0.135195,0.192717,0.226002,0.161034,0.229092,0.031481,0.023426,0.041597,0.035508,0.050879,0.036686,0.016758,0.002223,0.013619,0.003723,0.048785,breathing
0.060631,0.043316,0.000000,0.133612,0.167577,0.399088,0.008251,0.084722,-24.959160,3.861791,0.502935,0.439019,-0.110293,0.161149,-0.082105,0.020501,-0.127462,0.005507,-0.124007,0.038130,-0.001506,0.030673,0.022923,0.027030,0.031819,0.052760,0.041982,0.021222,0.005387,0.017692,0.029113,0.029920,0.025619,0.022998,-0.002781,0.002307,0.000000,-0.001252,-0.001728,-0.000103,0.000774,-0.002222,0.551895,0.016110,-0.108890,0.081161,0.067672,0.037801,0.032363,0.006443,0.031976,0.061666,0.009786,-0.000651,0.003727,0.000024,-0.002147,0.002897,0.004595,0.007272,-0.004455,0.000476,-0.000369,-0.001243,0.004228,-0.001160,0.010800,0.040445,0.000000,0.020163,0.024154,0.137835,0.004010,0.010304,3.662476,0.352467,0.389156,0.248865,0.197378,0.262169,0.150881,0.151508,0.142100,0.214900,0.127709,0.137458,0.106941,0.014149,0.016340,0.015433,0.018350,0.047253,0.035946,0.006423,0.005017,0.011919,0.018463,0.012418,0.024675,0.008353,0.015641,0.033245,0.000000,0.018287,0.024669,0.134652,0.005425,0.009238,2.690192,0.312222,0.294458,0.192477,0.174778,0.195719,0.238116,0.172438,0.250053,0.289526,0.158018,0.231460,0.164823,0.022908,0.020975,0.020508,0.021888,0.055035,0.057287,0.009137,0.007226,0.017092,0.028389,0.018577,breathing
0.081074,0.030724,0.000000,0.173387,0.207707,0.561484,0.018820,0.098611,-24.128948,2.728220,0.320756,0.458838,-0.146643,-0.005897,-0.188411,-0.106207,0.065143,0.057594,-0.037407,0.033176,0.043937,0.032213,0.010621,0.045996,0.025831,0.020752,0.012648,0.022691,0.008233,0.006210,0.006232,0.079584,0.012222,0.028854,0.004172,-0.000059,0.000000,0.003408,-0.000413,0.029433,0.001114,0.003333,0.097215,-0.019999,-0.001263,0.011996,-0.065288,-0.060579,-0.076733,-0.022753,-0.017333,-0.024434,0.000385,-0.017451,0.001126,-0.001519,0.003105,-0.001255,0.002163,0.000492,-0.003512,-0.004145,0.003327,-0.001245,-0.001375,-0.009243,0.043008,0.029329,0.000000,0.015866,0.024770,0.347779,0.026692,0.066865,3.142726,0.672584,0.403218,0.247658,0.243479,0.205450,0.269035,0.219215,0.154612,0.150902,0.120325,0.113410,0.106918,0.025916,0.011451,0.023104,0.020297,0.016353,0.012521,0.021607,0.009627,0.004750,0.004937,0.066661,0.014600,0.013729,0.040102,0.024687,0.000000,0.018839,0.022021,0.254853,0.039190,0.055802,2.405472,0.769421,0.438447,0.321393,0.196853,0.209928,0.217895,0.209022,0.173586,0.188980,0.136441,0.109870,0.145591,0.030997,0.012878,0.037679,0.025527,0.021961,0.016473,0.026451,0.010509,0.006599,0.006420,0.049796,breathing
0.051453,0.025628,0.000000,0.130864,0.172770,0.295137,0.008144,0.070000,-25.978941,3.790782,0.525943,0.609332,0.173040,0.288488,-0.065369,0.007299,0.012416,0.071179,-0.031391,0.058795,-0.019155,0.059189,0.008152,0.039975,0.072525,0.040605,0.043247,0.015929,0.004419,0.021518,0.021885,0.026391,0.011930,0.031402,-0.003616,-0.003124,0.000000,-0.001461,0.003049,-0.035604,0.002333,-0.005556,-1.202209,-0.115053,0.077126,-0.005960,0.038336,0.061448,0.031993,0.029499,0.021381,0.012350,0.010434,0.006012,0.019186,0.000101,0.000096,0.005289,0.000737,0.004280,-0.000493,-0.000984,-0.000640,-0.005592,-0.001713,0.010444,0.017615,0.026954,0.000000,0.017638,0.024131,0.115403,0.005444,0.015275,3.988884,0.587467,0.306303,0.218011,0.190816,0.180649,0.199290,0.157868,0.113269,0.083249,0.134294,0.070075,0.089581,0.043065,0.007087,0.022311,0.037878,0.034720,0.037352,0.009244,0.002849,0.015217,0.011581,0.029465,0.011483,0.007871,0.010429,0.026051,0.000000,0.015097,0.025374,0.087252,0.006036,0.009112,1.381165,0.620883,0.292228,0.271487,0.122348,0.171675,0.245148,0.225914,0.135387,0.118260,0.166353,0.089774,0.124188,0.047076,0.011597,0.019982,0.042815,0.042750,0.056679,0.011967,0.003288,0.012766,0.015533,0.030967,breathing
0.073425,0.000438,0.000000,0.181730,0.218934,0.565686,0.006934,0.091389,-29.326114,2.967826,0.752786,0.393574,-0.083710,0.044598,-0.149397,-0.050785,-0.023285,-0.018931,-0.096296,0.011485,0.035997,0.026236,0.022378,0.039806,0.016174,0.031660,0.044081,0.023839,0.005875,0.019459,0.017613,0.041898,0.017272,0.022015,-0.003198,0.000039,0.000000,-0.003294,-0.002769,0.005658,0.001126,-0.000556,0.247819,0.117422,0.005730,-0.040486,-0.009078,-0.010407,-0.001009,0.001661,-0.028034,-0.059139,-0.047086,-0.063971,-0.025225,0.002746,0.004598,-0.004806,0.005695,0.003693,0.001683,-0.002825,-0.000761,-0.001218,0.001630,-0.008838,0.010831,0.000480,0.000000,0.020530,0.016341,0.214269,0.003178,0.016919,1.412929,0.438198,0.219444,0.267751,0.240543,0.150535,0.127193,0.135274,0.160828,0.157771,0.153825,0.154617,0.100232,0.014989,0.032122,0.021895,0.015581,0.016348,0.035146,0.013808,0.007478,0.021963,0.015933,0.028314,0.010885,0.008480,0.009368,0.000519,0.000000,0.024766,0.017606,0.287786,0.003478,0.019992,1.253292,0.390661,0.247993,0.361526,0.279983,0.211826,0.182019,0.194924,0.170983,0.151705,0.100858,0.113872,0.128867,0.020779,0.049293,0.023620,0.017359,0.025449,0.052239,0.020948,0.010524,0.034499,0.019417,0.023185,breathing
0.041580,0.039392,0.000000,0.132078,0.179683,0.277238,0.057367,0.058333,-27.556919,3.155005,0.283189,0.513189,0.123214,0.336539,0.032458,0.061869,-0.025632,0.096987,-0.022056,0.007679,-0.087099,0.021811,0.011048,0.051000,0.039744,0.022546,0.034937,0.012935,0.001697,0.015163,0.024396,0.065951,0.014073,0.031798,-0.007648,-0.012590,0.000000,0.001295,0.007608,-0.047015,0.003463,-0.008889,-1.611790,-0.274169,-0.041024,-0.042128,-0.018118,-0.019416,0.052007,-0.015382,0.028492,0.000129,-0.013491,-0.023571,0.032457,-0.004447,-0.000709,-0.010312,-0.006679,-0.001667,-0.005993,-0.001437,-0.000634,-0.001863,-0.001354,0.018095,0.025210,0.046393,0.000000,0.018496,0.036041,0.164018,0.134752,0.033229,6.015383,1.452368,0.420586,0.263549,0.237223,0.108347,0.193322,0.140021,0.091941,0.080998,0.115050,0.159360,0.121154,0.019336,0.010266,0.042214,0.031525,0.013332,0.028551,0.009473,0.001923,0.018919,0.021948,0.072054,0.019716,0.012900,0.013665,0.021440,0.000000,0.024358,0.029010,0.064244,0.197244,0.017760,2.327034,1.097530,0.544160,0.375552,0.340896,0.149651,0.229751,0.187434,0.146598,0.117832,0.188839,0.177932,0.143195,0.024247,0.015045,0.045387,0.043145,0.013718,0.032348,0.008540,0.001783,0.022705,0.023685,0.055984,breathing
0.055208,0.030112,0.000000,0.168411,0.204916,0.454759,0.007591,0.079167,-27.506653,3.082941,0.532774,0.618272,0.091292,0.105383,-0.191532,0.049514,0.010202,-0.028154,-0.206342,0.028682,-0.036122,0.041887,0.012698,0.045524,0.031822,0.029966,0.021318,0.022032,0.003043,0.019685,0.019617,0.061733,0.017578,0.025077,-0.000556,0.010594,0.000000,-0.001436,-0.002858,0.007057,0.001028,0.001667,0.940837,0.040552,-0.045664,0.026095,-0.028566,0.064670,0.024295,0.022961,-0.011901,0.036910,0.068098,0.025064,-0.009996,-0.001740,-0.001817,0.006005,-0.003181,0.005491,0.001448,0.000699,-0.000294,0.006152,-0.001349,-0.004367,0.019828,0.044742,0.000000,0.020291,0.030780,0.123044,0.003367,0.018893,4.291174,0.507565,0.289891,0.140673,0.161794,0.262590,0.238334,0.108301,0.129400,0.152444,0.256893,0.125872,0.088235,0.028454,0.013058,0.037350,0.016315,0.020111,0.011080,0.013227,0.002159,0.020035,0.012981,0.039142,0.015720,0.008541,0.019939,0.026504,0.000000,0.017124,0.029617,0.143796,0.002294,0.022079,2.455321,0.426648,0.409219,0.209074,0.139890,0.289937,0.218598,0.131930,0.129546,0.160873,0.227681,0.163450,0.143153,0.046548,0.011740,0.051180,0.018974,0.016050,0.019398,0.015060,0.002454,0.026567,0.018405,0.039585,breathing
0.060214,0.017992,0.000000,0.167061,0.199353,0.556484,0.021901,0.097500,-27.412146,3.101712,0.352330,0.575180,0.052435,0.029635,-0.111767,-0.002637,0.090889,0.076303,-0.058732,0.102745,0.045172,0.031195,0.011569,0.031465,0.023906,0.037736,0.034745,0.022282,0.004491,0.010029,0.024950,0.063699,0.014626,0.026975,0.003755,-0.010086,0.000000,0.004770,0.001258,0.039487,0.000549,0.011111,-0.592558,-0.098255,-0.019136,0.041662,0.004580,-0.037465,-0.068143,-0.040011,0.011450,0.006834,0.002708,-0.000595,0.023435,0.003960,0.001285,0.006498,-0.004110,-0.001904,-0.011290,0.000287,0.000217,0.000182,-0.001674,-0.004582,0.036257,0.031210,0.000000,0.037356,0.034337,0.376679,0.028490,0.063672,3.791508,0.786445,0.292065,0.249837,0.203514,0.163318,0.299834,0.152294,0.077592,0.218986,0.214171,0.136946,0.088975,0.024290,0.012904,0.022153,0.016455,0.029818,0.036678,0.016554,0.005191,0.004583,0.015226,0.057116,0.015724,0.011498,0.032834,0.016472,0.000000,0.046146,0.043972,0.397926,0.031704,0.057736,2.720018,0.676375,0.322606,0.359726,0.236006,0.182663,0.255720,0.150012,0.077290,0.308955,0.246655,0.185647,0.089165,0.036660,0.013882,0.033430,0.022152,0.026364,0.037415,0.025216,0.008129,0.006482,0.023933,0.071458,breathing
0.060909,0.043830,0.000000,0.138401,0.169387,0.384968,0.008606,0.083889,-25.559282,3.775133,0.473434,0.570097,-0.034671,0.151246,-0.162283,0.044783,-0.034307,0.010439,-0.056035,-0.099591,-0.152844,0.054649,0.011544,0.032180,0.033445,0.030301,0.038798,0.016277,0.003150,0.033313,0.015848,0.044486,0.014012,0.026849,-0.003477,0.004446,0.000000,-0.006012,-0.007629,-0.007259,0.000825,-0.001944,0.660144,0.149360,-0.169132,-0.028333,0.083958,0.031457,0.074636,0.025670,-0.016911,0.035628,-0.039667,0.023819,0.026324,0.000819,-0.000502,0.005624,-0.004513,0.005584,0.003751,-0.000864,-0.000772,0.004298,0.000592,-0.006556,0.009140,0.042654,0.000000,0.025112,0.034160,0.123551,0.004273,0.012254,3.845439,0.588140,0.553143,0.264689,0.294792,0.286406,0.183836,0.138208,0.099399,0.151750,0.167110,0.154489,0.181161,0.049751,0.007867,0.018686,0.025984,0.023507,0.026938,0.016835,0.004024,0.025870,0.005875,0.031714,0.013656,0.008358,0.007822,0.037660,0.000000,0.024646,0.033772,0.197002,0.005867,0.015758,2.180574,0.615872,0.541410,0.313190,0.388561,0.241987,0.221512,0.222057,0.099245,0.215180,0.202191,0.091716,0.163772,0.069269,0.011237,0.018438,0.035836,0.026134,0.037579,0.022331,0.005394,0.035172,0.008396,0.025551,breathing
0.070213,0.013591,0.000000,0.154028,0.176332,0.601461,0.028723,0.105100,-33.781814,2.979075,0.304258,0.426807,-0.073593,0.109537,-0.118360,0.015003,-0.003600,-0.018702,-0.113972,0.065707,-0.013067,0.033824,0.013193,0.032447,0.027435,0.028235,0.022339,0.022186,0.003420,0.016327,0.017305,0.052110,0.013844,0.024619,0.000576,0.000000,0.000000,0.002624,0.003961,0.004008,0.000143,0.001200,1.289214,0.065590,0.021821,0.010457,0.002971,0.010160,0.002706,-0.000404,-0.005379,-0.002700,-0.000714,0.002110,0.002164,0.002253,0.000387,0.000888,0.000167,0.000557,0.000523,0.000588,0.000029,0.000223,0.000583,-0.002821,0.034187,0.020882,0.000000,0.038053,0.033277,0.375135,0.065385,0.057779,10.333798,0.720674,0.409131,0.202523,0.198002,0.195941,0.191603,0.145171,0.135697,0.117160,0.149059,0.105714,0.138291,0.024336,0.012341,0.023402,0.024192,0.024670,0.017848,0.018058,0.003197,0.012643,0.012673,0.043388,0.013878,0.010860,0.029927,0.017388,0.000000,0.031735,0.034310,0.337977,0.095147,0.050415,6.304687,0.566852,0.455367,0.249309,0.187951,0.210416,0.222191,0.220944,0.166923,0.158245,0.185466,0.121854,0.158559,0.028066,0.016786,0.026083,0.030311,0.032050,0.026073,0.022790,0.004449,0.016266,0.014675,0.042571,breathing
0.075461,0.015168,0.000000,0.172230,0.197343,0.675666,0.026130,0.119667,-28.104012,3.073423,0.312911,0.446473,-0.034338,0.073559,-0.158347,-0.017016,-0.013514,-0.034208,-0.142091,0.075134,-0.010051,0.027765,0.014462,0.035049,0.031434,0.030029,0.027457,0.025065,0.005879,0.011949,0.021506,0.040763,0.014758,0.024639,-0.000111,-0.000000,0.000000,0.000530,-0.000210,0.000570,0.002384,-0.000161,0.047548,0.013539,0.003267,-0.000557,-0.003050,0.002453,0.005358,0.001383,-0.000855,0.001330,0.000170,-0.000015,0.000276,-0.000033,-0.000028,0.000063,-0.000039,0.000082,-0.000134,0.000191,-0.000002,-0.000082,0.000000,0.000221,0.037482,0.019144,0.000000,0.032936,0.025883,0.433752,0.044680,0.072992,4.132963,0.700512,0.347104,0.200542,0.216231,0.162112,0.206883,0.124035,0.151542,0.137543,0.149642,0.130909,0.135428,0.022526,0.013303,0.025133,0.022574,0.021016,0.027172,0.018428,0.008150,0.009264,0.018713,0.051265,0.013408,0.010267,0.031845,0.015365,0.000000,0.030489,0.028437,0.368706,0.055234,0.065269,3.352354,0.664371,0.433181,0.259953,0.229009,0.248776,0.223003,0.146455,0.208424,0.195042,0.186790,0.177164,0.165857,0.033691,0.017508,0.031754,0.030086,0.030777,0.040097,0.024166,0.012028,0.013137,0.022774,0.054035,breathing
0.060388,0.015228,0.000000,0.126160,0.147472,0.467125,0.053621,0.085125,-42.253627,2.749499,0.334712,0.407652,-0.046944,0.045908,-0.096785,-0.040680,-0.018478,0.002320,-0.148716,0.022833,-0.011349,0.024957,0.011997,0.034591,0.026477,0.029270,0.020104,0.019127,0.002851,0.014857,0.017072,0.065571,0.015099,0.026860,0.006758,0.000001,0.000000,0.010391,0.009513,0.074059,0.000239,0.012000,3.403495,0.132423,-0.013133,0.032596,-0.021175,-0.016746,-0.008700,-0.003179,0.004563,-0.000494,-0.016675,0.006708,0.007366,0.001415,0.000820,0.003388,0.000720,0.000445,0.000719,0.000909,0.000101,0.000961,0.000756,-0.008324,0.032760,0.029381,0.000000,0.052100,0.056617,0.364661,0.144356,0.055503,19.478746,1.092995,0.452757,0.207319,0.138541,0.180256,0.163884,0.134291,0.134506,0.111099,0.163810,0.087221,0.181285,0.017114,0.012500,0.026353,0.019810,0.028638,0.016977,0.019083,0.003223,0.008755,0.014909,0.049776,0.013327,0.013141,0.028541,0.023536,0.000000,0.042344,0.046113,0.332649,0.215151,0.045090,10.836580,0.657634,0.572922,0.242171,0.132648,0.145077,0.200437,0.181022,0.134900,0.167239,0.184819,0.073960,0.162132,0.020830,0.013984,0.029683,0.023032,0.031510,0.023785,0.024489,0.003958,0.010749,0.015108,0.036884,breathing
0.083584,0.020394,0.000000,0.175916,0.192238,0.757715,0.021520,0.137403,-28.287137,2.934336,0.244490,0.519114,-0.135417,0.137828,-0.163053,0.032799,0.019335,-0.015264,-0.086924,0.137769,-0.032050,0.034692,0.010572,0.033469,0.026874,0.025755,0.021114,0.019792,0.003749,0.016820,0.017765,0.043660,0.011460,0.023676,0.000209,-0.000212,0.000000,0.000086,-0.000339,0.005966,0.000189,0.002681,-0.002447,-0.005661,-0.019590,0.031170,0.012010,-0.001774,0.025065,0.007717,0.001177,0.012133,0.011082,-0.005283,0.003713,0.002581,0.000777,-0.000470,-0.000248,-0.000930,-0.000043,-0.000698,-0.000070,-0.000238,0.000140,0.000488,0.045991,0.023747,0.000000,0.040356,0.022165,0.539620,0.029590,0.086148,4.307574,0.677394,0.466956,0.203336,0.300752,0.191278,0.231553,0.123546,0.114843,0.151937,0.152401,0.116859,0.117708,0.034256,0.008122,0.026647,0.030499,0.024992,0.023127,0.013857,0.003360,0.013693,0.012853,0.051913,0.009057,0.012398,0.042687,0.020395,0.000000,0.029180,0.022251,0.402596,0.033239,0.067058,3.520228,0.567145,0.452707,0.251708,0.308069,0.203773,0.253540,0.163360,0.159088,0.214462,0.208676,0.166303,0.145725,0.050461,0.011195,0.039097,0.028171,0.036472,0.031888,0.023821,0.005461,0.016892,0.021260,0.064591,breathing
